TransactionID,BoothID,BoothName,Location,ServiceID,ServiceName,RevenuePerKwacha,TransactionAmount
WB0000038,1,Wina1,Lusaka CPD,5,FNB,0.04,4364
WB0000039,3,Wina3,Kabwata,2,MTN Money,0.06,2822
WB0000040,6,Wina6,Matero East,1,Airtel Money,0.05,2046
WB0000041,3,Wina3,Kabwata,3,Zamtel Money,0.045,1985
WB0000042,2,Wina2,Libala,2,MTN Money,0.06,3023
WB0000043,3,Wina3,Kabwata,1,Airtel Money,0.05,3728
WB0000044,5,Wina5,Woodlands,2,MTN Money,0.06,58
WB0000045,2,Wina2,Libala,1,Airtel Money,0.05,2744
WB0000046,5,Wina5,Woodlands,5,FNB,0.04,1654
WB0000047,3,Wina3,Kabwata,1,Airtel Money,0.05,1331
WB0000048,4,Wina4,Mandevu,1,Airtel Money,0.05,801
WB0000049,3,Wina3,Kabwata,2,MTN Money,0.06,967
WB0000050,3,Wina3,Kabwata,2,MTN Money,0.06,1988
WB0000051,3,Wina3,Kabwata,1,Airtel Money,0.05,3646
WB0000052,4,Wina4,Mandevu,1,Airtel Money,0.05,54
WB0000053,2,Wina2,Libala,3,Zamtel Money,0.045,2121
WB0000054,3,Wina3,Kabwata,4,Zanaco,0.035,564
WB0000055,4,Wina4,Mandevu,1,Airtel Money,0.05,1011
WB0000056,5,Wina5,Woodlands,5,FNB,0.04,2950
WB0000057,3,Wina3,Kabwata,4,Zanaco,0.035,57
WB0000058,4,Wina4,Mandevu,1,Airtel Money,0.05,2382
WB0000059,1,Wina1,Lusaka CPD,2,MTN Money,0.06,349
WB0000060,1,Wina1,Lusaka CPD,1,Airtel Money,0.05,2479
WB0000061,2,Wina2,Libala,1,Airtel Money,0.05,1537
WB0000062,3,Wina3,Kabwata,3,Zamtel Money,0.045,2802
WB0000063,4,Wina4,Mandevu,1,Airtel Money,0.05,1290
WB0000064,3,Wina3,Kabwata,2,MTN Money,0.06,4331
WB0000065,3,Wina3,Kabwata,4,Zanaco,0.035,1338
WB0000066,4,Wina4,Mandevu,1,Airtel Money,0.05,1477
WB0000067,1,Wina1,Lusaka CPD,1,Airtel Money,0.05,3430
WB0000068,3,Wina3,Kabwata,2,MTN Money,0.06,451
WB0000069,6,Wina6,Matero East,1,Airtel Money,0.05,80
WB0000070,3,Wina3,Kabwata,4,Zanaco,0.035,2002
WB0000071,2,Wina2,Libala,1,Airtel Money,0.05,3235
WB0000072,3,Wina3,Kabwata,2,MTN Money,0.06,4156
WB0000073,5,Wina5,Woodlands,1,Airtel Money,0.05,22
WB0000074,2,Wina2,Libala,1,Airtel Money,0.05,2156
WB0000075,5,Wina5,Woodlands,2,MTN Money,0.06,2267
WB0000076,3,Wina3,Kabwata,3,Zamtel Money,0.045,2419
WB0000077,4,Wina4,Mandevu,1,Airtel Money,0.05,1691
WB0000078,3,Wina3,Kabwata,1,Airtel Money,0.05,2736
WB0000079,3,Wina3,Kabwata,2,MTN Money,0.06,4282
WB0000080,3,Wina3,Kabwata,3,Zamtel Money,0.045,2331
WB0000081,4,Wina4,Mandevu,1,Airtel Money,0.05,1405
WB0000082,2,Wina2,Libala,1,Airtel Money,0.05,945
WB0000083,3,Wina3,Kabwata,4,Zanaco,0.035,688
WB0000084,4,Wina4,Mandevu,1,Airtel Money,0.05,189
WB0000085,5,Wina5,Woodlands,5,FNB,0.04,3787
WB0000086,3,Wina3,Kabwata,4,Zanaco,0.035,3407
WB0000087,4,Wina4,Mandevu,1,Airtel Money,0.05,1105
WB0000088,6,Wina6,Matero East,1,Airtel Money,0.05,174
WB0000089,2,Wina2,Libala,2,MTN Money,0.06,1440
WB0000090,6,Wina6,Matero East,1,Airtel Money,0.05,3344
WB0000091,2,Wina2,Libala,1,Airtel Money,0.05,2676
WB0000092,2,Wina2,Libala,1,Airtel Money,0.05,812
WB0000093,3,Wina3,Kabwata,4,Zanaco,0.035,4224
WB0000094,3,Wina3,Kabwata,1,Airtel Money,0.05,592
WB0000095,3,Wina3,Kabwata,1,Airtel Money,0.05,1662
WB0000096,2,Wina2,Libala,1,Airtel Money,0.05,1915
WB0000097,3,Wina3,Kabwata,1,Airtel Money,0.05,1866
WB0000098,6,Wina6,Matero East,2,MTN Money,0.06,4320
WB0000099,2,Wina2,Libala,1,Airtel Money,0.05,228
WB0000100,6,Wina6,Matero East,1,Airtel Money,0.05,3318
WB0000101,2,Wina2,Libala,1,Airtel Money,0.05,3615
WB0000102,2,Wina2,Libala,1,Airtel Money,0.05,4156
WB0000103,3,Wina3,Kabwata,3,Zamtel Money,0.045,1401
WB0000104,3,Wina3,Kabwata,1,Airtel Money,0.05,2014
WB0000105,3,Wina3,Kabwata,2,MTN Money,0.06,3475
WB0000106,2,Wina2,Libala,2,MTN Money,0.06,2452
WB0000107,3,Wina3,Kabwata,4,Zanaco,0.035,1720
WB0000108,2,Wina2,Libala,1,Airtel Money,0.05,118
WB0000109,3,Wina3,Kabwata,2,MTN Money,0.06,779
WB0000110,4,Wina4,Mandevu,1,Airtel Money,0.05,1623
WB0000111,3,Wina3,Kabwata,1,Airtel Money,0.05,2679
WB0000112,3,Wina3,Kabwata,4,Zanaco,0.035,1976
WB0000113,4,Wina4,Mandevu,1,Airtel Money,0.05,974
WB0000114,1,Wina1,Lusaka CPD,1,Airtel Money,0.05,2911
WB0000115,3,Wina3,Kabwata,4,Zanaco,0.035,279
WB0000116,6,Wina6,Matero East,1,Airtel Money,0.05,3646
WB0000117,3,Wina3,Kabwata,2,MTN Money,0.06,855
WB0000118,2,Wina2,Libala,1,Airtel Money,0.05,1412
WB0000119,3,Wina3,Kabwata,1,Airtel Money,0.05,2137
WB0000120,5,Wina5,Woodlands,5,FNB,0.04,1800
WB0000121,2,Wina2,Libala,1,Airtel Money,0.05,1219
WB0000122,5,Wina5,Woodlands,5,FNB,0.04,3582
WB0000123,3,Wina3,Kabwata,1,Airtel Money,0.05,760
WB0000124,4,Wina4,Mandevu,2,MTN Money,0.06,2308
WB0000125,1,Wina1,Lusaka CPD,3,Zamtel Money,0.045,1941
WB0000126,3,Wina3,Kabwata,1,Airtel Money,0.05,2068
WB0000127,6,Wina6,Matero East,2,MTN Money,0.06,4242
WB0000128,3,Wina3,Kabwata,1,Airtel Money,0.05,2587
WB0000129,2,Wina2,Libala,3,Zamtel Money,0.045,4196
WB0000130,3,Wina3,Kabwata,1,Airtel Money,0.05,1463
WB0000131,5,Wina5,Woodlands,5,FNB,0.04,2199
WB0000132,2,Wina2,Libala,1,Airtel Money,0.05,2956
WB0000133,5,Wina5,Woodlands,5,FNB,0.04,1663
WB0000134,3,Wina3,Kabwata,1,Airtel Money,0.05,2525
WB0000135,4,Wina4,Mandevu,1,Airtel Money,0.05,4404
WB0000136,3,Wina3,Kabwata,2,MTN Money,0.06,1012
WB0000137,3,Wina3,Kabwata,1,Airtel Money,0.05,69
WB0000138,3,Wina3,Kabwata,1,Airtel Money,0.05,4241
WB0000139,4,Wina4,Mandevu,2,MTN Money,0.06,3379
WB0000140,2,Wina2,Libala,2,MTN Money,0.06,3255
WB0000141,3,Wina3,Kabwata,4,Zanaco,0.035,1705
WB0000142,4,Wina4,Mandevu,1,Airtel Money,0.05,1039
WB0000143,5,Wina5,Woodlands,5,FNB,0.04,254
WB0000144,3,Wina3,Kabwata,2,MTN Money,0.06,870
WB0000145,4,Wina4,Mandevu,2,MTN Money,0.06,772
WB0000146,1,Wina1,Lusaka CPD,3,Zamtel Money,0.045,1791
WB0000147,3,Wina3,Kabwata,1,Airtel Money,0.05,3320
WB0000148,4,Wina4,Mandevu,1,Airtel Money,0.05,4185
WB0000149,1,Wina1,Lusaka CPD,2,MTN Money,0.06,100
WB0000150,3,Wina3,Kabwata,2,MTN Money,0.06,3794
WB0000151,6,Wina6,Matero East,1,Airtel Money,0.05,498
WB0000152,3,Wina3,Kabwata,1,Airtel Money,0.05,2566
WB0000153,2,Wina2,Libala,1,Airtel Money,0.05,4459
WB0000154,3,Wina3,Kabwata,1,Airtel Money,0.05,3916
WB0000155,5,Wina5,Woodlands,5,FNB,0.04,528
WB0000156,2,Wina2,Libala,5,FNB,0.04,2067
WB0000157,5,Wina5,Woodlands,5,FNB,0.04,1119
WB0000158,3,Wina3,Kabwata,1,Airtel Money,0.05,1209
WB0000159,4,Wina4,Mandevu,1,Airtel Money,0.05,1950
WB0000160,3,Wina3,Kabwata,2,MTN Money,0.06,1268
WB0000161,3,Wina3,Kabwata,4,Zanaco,0.035,1066
WB0000162,3,Wina3,Kabwata,1,Airtel Money,0.05,4419
WB0000163,4,Wina4,Mandevu,1,Airtel Money,0.05,2065
WB0000164,2,Wina2,Libala,5,FNB,0.04,2663
WB0000165,3,Wina3,Kabwata,1,Airtel Money,0.05,2075
WB0000166,4,Wina4,Mandevu,3,Zamtel Money,0.045,3284
WB0000167,5,Wina5,Woodlands,1,Airtel Money,0.05,425
WB0000168,3,Wina3,Kabwata,4,Zanaco,0.035,1856
WB0000169,4,Wina4,Mandevu,1,Airtel Money,0.05,405
WB0000170,1,Wina1,Lusaka CPD,5,FNB,0.04,608
WB0000171,1,Wina1,Lusaka CPD,3,Zamtel Money,0.045,4143
WB0000172,3,Wina3,Kabwata,1,Airtel Money,0.05,681
WB0000173,6,Wina6,Matero East,2,MTN Money,0.06,4405
WB0000174,3,Wina3,Kabwata,1,Airtel Money,0.05,3980
WB0000175,2,Wina2,Libala,3,Zamtel Money,0.045,2510
WB0000176,3,Wina3,Kabwata,1,Airtel Money,0.05,2807
WB0000177,5,Wina5,Woodlands,5,FNB,0.04,474
WB0000178,2,Wina2,Libala,1,Airtel Money,0.05,75
WB0000179,5,Wina5,Woodlands,5,FNB,0.04,2581
WB0000180,3,Wina3,Kabwata,1,Airtel Money,0.05,3938
WB0000181,4,Wina4,Mandevu,1,Airtel Money,0.05,3419
WB0000182,3,Wina3,Kabwata,2,MTN Money,0.06,1047
WB0000183,3,Wina3,Kabwata,1,Airtel Money,0.05,205
WB0000184,3,Wina3,Kabwata,1,Airtel Money,0.05,495
WB0000185,4,Wina4,Mandevu,2,MTN Money,0.06,3107
WB0000186,2,Wina2,Libala,2,MTN Money,0.06,2597
WB0000187,3,Wina3,Kabwata,4,Zanaco,0.035,3049
WB0000188,4,Wina4,Mandevu,1,Airtel Money,0.05,2713
WB0000189,5,Wina5,Woodlands,5,FNB,0.04,1727
WB0000190,3,Wina3,Kabwata,2,MTN Money,0.06,2060
WB0000191,4,Wina4,Mandevu,2,MTN Money,0.06,268
WB0000192,1,Wina1,Lusaka CPD,3,Zamtel Money,0.045,2327
WB0000193,3,Wina3,Kabwata,1,Airtel Money,0.05,3027
WB0000194,4,Wina4,Mandevu,1,Airtel Money,0.05,897
WB0000195,1,Wina1,Lusaka CPD,2,MTN Money,0.06,2275
WB0000196,3,Wina3,Kabwata,2,MTN Money,0.06,1246
WB0000197,6,Wina6,Matero East,1,Airtel Money,0.05,2768
WB0000198,3,Wina3,Kabwata,1,Airtel Money,0.05,3082
WB0000199,2,Wina2,Libala,1,Airtel Money,0.05,4307
WB0000200,3,Wina3,Kabwata,1,Airtel Money,0.05,3664
WB0000201,5,Wina5,Woodlands,5,FNB,0.04,3274
WB0000202,2,Wina2,Libala,5,FNB,0.04,2854
WB0000203,5,Wina5,Woodlands,5,FNB,0.04,1253
WB0000204,3,Wina3,Kabwata,1,Airtel Money,0.05,812
WB0000205,4,Wina4,Mandevu,1,Airtel Money,0.05,962
WB0000206,3,Wina3,Kabwata,2,MTN Money,0.06,2219
WB0000207,3,Wina3,Kabwata,4,Zanaco,0.035,4407
WB0000208,3,Wina3,Kabwata,1,Airtel Money,0.05,3825
WB0000209,4,Wina4,Mandevu,1,Airtel Money,0.05,2162
WB0000210,2,Wina2,Libala,5,FNB,0.04,883
WB0000211,3,Wina3,Kabwata,1,Airtel Money,0.05,1506
WB0000212,4,Wina4,Mandevu,3,Zamtel Money,0.045,394
WB0000213,5,Wina5,Woodlands,1,Airtel Money,0.05,4272
WB0000214,3,Wina3,Kabwata,4,Zanaco,0.035,4187
WB0000215,4,Wina4,Mandevu,1,Airtel Money,0.05,913
WB0000216,1,Wina1,Lusaka CPD,5,FNB,0.04,3651
WB0000217,1,Wina1,Lusaka CPD,3,Zamtel Money,0.045,1000
WB0000218,3,Wina3,Kabwata,1,Airtel Money,0.05,839
WB0000219,6,Wina6,Matero East,2,MTN Money,0.06,1851
WB0000220,3,Wina3,Kabwata,1,Airtel Money,0.05,1341
WB0000221,2,Wina2,Libala,3,Zamtel Money,0.045,3150
WB0000222,3,Wina3,Kabwata,1,Airtel Money,0.05,3050
WB0000223,5,Wina5,Woodlands,5,FNB,0.04,4489
WB0000224,2,Wina2,Libala,1,Airtel Money,0.05,3432
WB0000225,5,Wina5,Woodlands,5,FNB,0.04,136
WB0000226,3,Wina3,Kabwata,1,Airtel Money,0.05,2318
WB0000227,4,Wina4,Mandevu,1,Airtel Money,0.05,4327
WB0000228,3,Wina3,Kabwata,2,MTN Money,0.06,1653
WB0000229,3,Wina3,Kabwata,1,Airtel Money,0.05,20
WB0000230,3,Wina3,Kabwata,1,Airtel Money,0.05,1219
WB0000231,4,Wina4,Mandevu,2,MTN Money,0.06,1508
WB0000232,2,Wina2,Libala,2,MTN Money,0.06,1205
WB0000233,3,Wina3,Kabwata,4,Zanaco,0.035,1589
WB0000234,4,Wina4,Mandevu,1,Airtel Money,0.05,1280
WB0000235,5,Wina5,Woodlands,5,FNB,0.04,335
WB0000236,3,Wina3,Kabwata,2,MTN Money,0.06,2268
WB0000237,4,Wina4,Mandevu,2,MTN Money,0.06,2815
WB0000238,1,Wina1,Lusaka CPD,3,Zamtel Money,0.045,4414
WB0000239,3,Wina3,Kabwata,1,Airtel Money,0.05,654
WB0000240,4,Wina4,Mandevu,1,Airtel Money,0.05,2180
WB0000241,1,Wina1,Lusaka CPD,2,MTN Money,0.06,2869
WB0000242,3,Wina3,Kabwata,2,MTN Money,0.06,3757
WB0000243,6,Wina6,Matero East,1,Airtel Money,0.05,2038
WB0000244,3,Wina3,Kabwata,1,Airtel Money,0.05,1344
WB0000245,2,Wina2,Libala,1,Airtel Money,0.05,526
WB0000246,3,Wina3,Kabwata,1,Airtel Money,0.05,192
WB0000247,5,Wina5,Woodlands,5,FNB,0.04,866
WB0000248,2,Wina2,Libala,5,FNB,0.04,3568
WB0000249,5,Wina5,Woodlands,5,FNB,0.04,729
WB0000250,3,Wina3,Kabwata,1,Airtel Money,0.05,3331
WB0000251,4,Wina4,Mandevu,1,Airtel Money,0.05,336
WB0000252,3,Wina3,Kabwata,2,MTN Money,0.06,976
WB0000253,3,Wina3,Kabwata,4,Zanaco,0.035,89
WB0000254,3,Wina3,Kabwata,1,Airtel Money,0.05,630
WB0000255,4,Wina4,Mandevu,1,Airtel Money,0.05,3161
WB0000256,2,Wina2,Libala,5,FNB,0.04,4200
WB0000257,3,Wina3,Kabwata,1,Airtel Money,0.05,3887
WB0000258,4,Wina4,Mandevu,3,Zamtel Money,0.045,4421
WB0000259,5,Wina5,Woodlands,1,Airtel Money,0.05,1863
WB0000260,3,Wina3,Kabwata,4,Zanaco,0.035,2465
WB0000261,4,Wina4,Mandevu,1,Airtel Money,0.05,3775
WB0000262,1,Wina1,Lusaka CPD,5,FNB,0.04,2897
WB0000263,1,Wina1,Lusaka CPD,3,Zamtel Money,0.045,3994
WB0000264,3,Wina3,Kabwata,1,Airtel Money,0.05,586
WB0000265,6,Wina6,Matero East,2,MTN Money,0.06,2562
WB0000266,3,Wina3,Kabwata,1,Airtel Money,0.05,3867
WB0000267,2,Wina2,Libala,3,Zamtel Money,0.045,4208
WB0000268,3,Wina3,Kabwata,1,Airtel Money,0.05,4471
WB0000269,5,Wina5,Woodlands,5,FNB,0.04,303
WB0000270,2,Wina2,Libala,1,Airtel Money,0.05,4261
WB0000271,5,Wina5,Woodlands,5,FNB,0.04,1122
WB0000272,3,Wina3,Kabwata,1,Airtel Money,0.05,1396
WB0000273,4,Wina4,Mandevu,1,Airtel Money,0.05,905
WB0000274,3,Wina3,Kabwata,2,MTN Money,0.06,4002
WB0000275,3,Wina3,Kabwata,1,Airtel Money,0.05,1591
WB0000276,3,Wina3,Kabwata,1,Airtel Money,0.05,3353
WB0000277,4,Wina4,Mandevu,2,MTN Money,0.06,3364
WB0000278,2,Wina2,Libala,2,MTN Money,0.06,4129
WB0000279,3,Wina3,Kabwata,4,Zanaco,0.035,1003
WB0000280,4,Wina4,Mandevu,1,Airtel Money,0.05,2475
WB0000281,5,Wina5,Woodlands,5,FNB,0.04,3597
WB0000282,3,Wina3,Kabwata,2,MTN Money,0.06,1659
WB0000283,4,Wina4,Mandevu,2,MTN Money,0.06,4163
WB0000284,1,Wina1,Lusaka CPD,3,Zamtel Money,0.045,487
WB0000285,3,Wina3,Kabwata,1,Airtel Money,0.05,3790
WB0000286,4,Wina4,Mandevu,1,Airtel Money,0.05,2186
WB0000287,1,Wina1,Lusaka CPD,2,MTN Money,0.06,1894
WB0000288,3,Wina3,Kabwata,2,MTN Money,0.06,1458
WB0000289,6,Wina6,Matero East,1,Airtel Money,0.05,875
WB0000290,3,Wina3,Kabwata,1,Airtel Money,0.05,189
WB0000291,2,Wina2,Libala,1,Airtel Money,0.05,4479
WB0000292,3,Wina3,Kabwata,1,Airtel Money,0.05,3733
WB0000293,5,Wina5,Woodlands,5,FNB,0.04,640
WB0000294,2,Wina2,Libala,5,FNB,0.04,413
WB0000295,5,Wina5,Woodlands,5,FNB,0.04,880
WB0000296,3,Wina3,Kabwata,1,Airtel Money,0.05,2921
WB0000297,4,Wina4,Mandevu,1,Airtel Money,0.05,3428
WB0000298,3,Wina3,Kabwata,2,MTN Money,0.06,4103
WB0000299,3,Wina3,Kabwata,4,Zanaco,0.035,2610
WB0000300,3,Wina3,Kabwata,1,Airtel Money,0.05,3813
WB0000301,4,Wina4,Mandevu,1,Airtel Money,0.05,1899
WB0000302,2,Wina2,Libala,5,FNB,0.04,1284
WB0000303,3,Wina3,Kabwata,1,Airtel Money,0.05,2928
WB0000304,4,Wina4,Mandevu,3,Zamtel Money,0.045,301
WB0000305,5,Wina5,Woodlands,1,Airtel Money,0.05,3672
WB0000306,3,Wina3,Kabwata,4,Zanaco,0.035,1542
WB0000307,4,Wina4,Mandevu,1,Airtel Money,0.05,2001
WB0000308,1,Wina1,Lusaka CPD,5,FNB,0.04,3166
