TransactionID,MobileBooth,Location,Service,RevenuePerKwanch,TransactionAmount
WB0000125,Wina1,Lusaka CPD,Zamtel Money,0.045,1941
WB0000126,Wina3,Kabwata,Airtel Money,0.05,2068
WB0000127,Wina6,Matero East,MTN Money,0.06,4242
WB0000128,Wina3,Kabwata,Airtel Money,0.05,2587
WB0000129,Wina2,Libala,Zamtel Money,0.045,4196
WB0000130,Wina3,Kabwata,Airtel Money,0.05,1463
WB0000131,Wina5,Woodlands,FNB,0.04,2199
WB0000132,Wina2,Libala,Airtel Money,0.05,2956
WB0000133,Wina5,Woodlands,FNB,0.04,1663
WB0000134,Wina3,Kabwata,Airtel Money,0.05,2525
WB0000135,Wina4,Mandevu,Airtel Money,0.05,4404
WB0000136,Wina3,Kabwata,MTN Money,0.06,1012
WB0000137,Wina3,Kabwata,Airtel Money,0.05,69
WB0000138,Wina3,Kabwata,Airtel Money,0.05,4241
WB0000139,Wina4,Mandevu,MTN Money,0.06,3379
WB0000140,Wina2,Libala,MTN Money,0.06,3255
WB0000141,Wina3,Kabwata,Zanaco,0.035,1705
WB0000142,Wina4,Mandevu,Airtel Money,0.05,1039
WB0000143,Wina5,Woodlands,FNB,0.04,254
WB0000144,Wina3,Kabwata,MTN Money,0.06,870
WB0000145,Wina4,Mandevu,MTN Money,0.06,772
WB0000146,Wina1,Lusaka CPD,Zamtel Money,0.045,1791
WB0000147,Wina3,Kabwata,Airtel Money,0.05,3320
WB0000148,Wina4,Mandevu,Airtel Money,0.05,4185
WB0000149,Wina1,Lusaka CPD,MTN Money,0.06,100
WB0000150,Wina3,Kabwata,MTN Money,0.06,3794
WB0000151,Wina6,Matero East,Airtel Money,0.05,498
WB0000152,Wina3,Kabwata,Airtel Money,0.05,2566
WB0000153,Wina2,Libala,Airtel Money,0.05,4459
WB0000154,Wina3,Kabwata,Airtel Money,0.05,3916
WB0000155,Wina5,Woodlands,FNB,0.04,528
WB0000156,Wina2,Libala,FNB,0.04,2067
WB0000157,Wina5,Woodlands,FNB,0.04,1119
WB0000158,Wina3,Kabwata,Airtel Money,0.05,1209
WB0000159,Wina4,Mandevu,Airtel Money,0.05,1950
WB0000160,Wina3,Kabwata,MTN Money,0.06,1268
WB0000161,Wina3,Kabwata,Zanaco,0.035,1066
WB0000162,Wina3,Kabwata,Airtel Money,0.05,4419
WB0000163,Wina4,Mandevu,Airtel Money,0.05,2065
WB0000164,Wina2,Libala,FNB,0.04,2663
WB0000165,Wina3,Kabwata,Airtel Money,0.05,2075
WB0000166,Wina4,Mandevu,Zamtel Money,0.045,3284
WB0000167,Wina5,Woodlands,Airtel Money,0.05,425
WB0000168,Wina3,Kabwata,Zanaco,0.035,1856
WB0000169,Wina4,Mandevu,Airtel Money,0.05,405
WB0000170,Wina1,Lusaka CPD,FNB,0.04,608
WB0000171,Wina1,Lusaka CPD,Zamtel Money,0.045,4143
WB0000172,Wina3,Kabwata,Airtel Money,0.05,681
WB0000173,Wina6,Matero East,MTN Money,0.06,4405
WB0000174,Wina3,Kabwata,Airtel Money,0.05,3980
WB0000175,Wina2,Libala,Zamtel Money,0.045,2510
WB0000176,Wina3,Kabwata,Airtel Money,0.05,2807
WB0000177,Wina5,Woodlands,FNB,0.04,474
WB0000178,Wina2,Libala,Airtel Money,0.05,75
WB0000179,Wina5,Woodlands,FNB,0.04,2581
WB0000180,Wina3,Kabwata,Airtel Money,0.05,3938
WB0000181,Wina4,Mandevu,Airtel Money,0.05,3419
WB0000182,Wina3,Kabwata,MTN Money,0.06,1047
WB0000183,Wina3,Kabwata,Airtel Money,0.05,205
WB0000184,Wina3,Kabwata,Airtel Money,0.05,495
WB0000185,Wina4,Mandevu,MTN Money,0.06,3107
WB0000186,Wina2,Libala,MTN Money,0.06,2597
WB0000187,Wina3,Kabwata,Zanaco,0.035,3049
WB0000188,Wina4,Mandevu,Airtel Money,0.05,2713
WB0000189,Wina5,Woodlands,FNB,0.04,1727
WB0000190,Wina3,Kabwata,MTN Money,0.06,2060
WB0000191,Wina4,Mandevu,MTN Money,0.06,268
WB0000192,Wina1,Lusaka CPD,Zamtel Money,0.045,2327
WB0000193,Wina3,Kabwata,Airtel Money,0.05,3027
WB0000194,Wina4,Mandevu,Airtel Money,0.05,897
WB0000195,Wina1,Lusaka CPD,MTN Money,0.06,2275
WB0000196,Wina3,Kabwata,MTN Money,0.06,1246
WB0000197,Wina6,Matero East,Airtel Money,0.05,2768
WB0000198,Wina3,Kabwata,Airtel Money,0.05,3082
WB0000199,Wina2,Libala,Airtel Money,0.05,4307
WB0000200,Wina3,Kabwata,Airtel Money,0.05,3664
WB0000201,Wina5,Woodlands,FNB,0.04,3274
WB0000202,Wina2,Libala,FNB,0.04,2854
WB0000203,Wina5,Woodlands,FNB,0.04,1253
WB0000204,Wina3,Kabwata,Airtel Money,0.05,812
WB0000205,Wina4,Mandevu,Airtel Money,0.05,962
WB0000206,Wina3,Kabwata,MTN Money,0.06,2219
WB0000207,Wina3,Kabwata,Zanaco,0.035,4407
WB0000208,Wina3,Kabwata,Airtel Money,0.05,3825
WB0000209,Wina4,Mandevu,Airtel Money,0.05,2162
WB0000210,Wina2,Libala,FNB,0.04,883
WB0000211,Wina3,Kabwata,Airtel Money,0.05,1506
WB0000212,Wina4,Mandevu,Zamtel Money,0.045,394
WB0000213,Wina5,Woodlands,Airtel Money,0.05,4272
WB0000214,Wina3,Kabwata,Zanaco,0.035,4187
WB0000215,Wina4,Mandevu,Airtel Money,0.05,913
WB0000216,Wina1,Lusaka CPD,FNB,0.04,3651
WB0000217,Wina1,Lusaka CPD,Zamtel Money,0.045,1000
WB0000218,Wina3,Kabwata,Airtel Money,0.05,839
WB0000219,Wina6,Matero East,MTN Money,0.06,1851
WB0000220,Wina3,Kabwata,Airtel Money,0.05,1341
WB0000221,Wina2,Libala,Zamtel Money,0.045,3150
WB0000222,Wina3,Kabwata,Airtel Money,0.05,3050
WB0000223,Wina5,Woodlands,FNB,0.04,4489
WB0000224,Wina2,Libala,Airtel Money,0.05,3432
WB0000225,Wina5,Woodlands,FNB,0.04,136
WB0000226,Wina3,Kabwata,Airtel Money,0.05,2318
WB0000227,Wina4,Mandevu,Airtel Money,0.05,4327
WB0000228,Wina3,Kabwata,MTN Money,0.06,1653
WB0000229,Wina3,Kabwata,Airtel Money,0.05,20
WB0000230,Wina3,Kabwata,Airtel Money,0.05,1219
WB0000231,Wina4,Mandevu,MTN Money,0.06,1508
WB0000232,Wina2,Libala,MTN Money,0.06,1205
WB0000233,Wina3,Kabwata,Zanaco,0.035,1589
WB0000234,Wina4,Mandevu,Airtel Money,0.05,1280
WB0000235,Wina5,Woodlands,FNB,0.04,335
WB0000236,Wina3,Kabwata,MTN Money,0.06,2268
WB0000237,Wina4,Mandevu,MTN Money,0.06,2815
WB0000238,Wina1,Lusaka CPD,Zamtel Money,0.045,4414
WB0000239,Wina3,Kabwata,Airtel Money,0.05,654
WB0000240,Wina4,Mandevu,Airtel Money,0.05,2180
WB0000241,Wina1,Lusaka CPD,MTN Money,0.06,2869
WB0000242,Wina3,Kabwata,MTN Money,0.06,3757
WB0000243,Wina6,Matero East,Airtel Money,0.05,2038
WB0000244,Wina3,Kabwata,Airtel Money,0.05,1344
WB0000245,Wina2,Libala,Airtel Money,0.05,526
WB0000246,Wina3,Kabwata,Airtel Money,0.05,192
WB0000247,Wina5,Woodlands,FNB,0.04,866
WB0000248,Wina2,Libala,FNB,0.04,3568
WB0000249,Wina5,Woodlands,FNB,0.04,729
WB0000250,Wina3,Kabwata,Airtel Money,0.05,3331
WB0000251,Wina4,Mandevu,Airtel Money,0.05,336
WB0000252,Wina3,Kabwata,MTN Money,0.06,976
WB0000253,Wina3,Kabwata,Zanaco,0.035,89
WB0000254,Wina3,Kabwata,Airtel Money,0.05,630
WB0000255,Wina4,Mandevu,Airtel Money,0.05,3161
WB0000256,Wina2,Libala,FNB,0.04,4200
WB0000257,Wina3,Kabwata,Airtel Money,0.05,3887
WB0000258,Wina4,Mandevu,Zamtel Money,0.045,4421
WB0000259,Wina5,Woodlands,Airtel Money,0.05,1863
WB0000260,Wina3,Kabwata,Zanaco,0.035,2465
WB0000261,Wina4,Mandevu,Airtel Money,0.05,3775
WB0000262,Wina1,Lusaka CPD,FNB,0.04,2897
WB0000263,Wina1,Lusaka CPD,Zamtel Money,0.045,3994
WB0000264,Wina3,Kabwata,Airtel Money,0.05,586
WB0000265,Wina6,Matero East,MTN Money,0.06,2562
WB0000266,Wina3,Kabwata,Airtel Money,0.05,3867
WB0000267,Wina2,Libala,Zamtel Money,0.045,4208
WB0000268,Wina3,Kabwata,Airtel Money,0.05,4471
WB0000269,Wina5,Woodlands,FNB,0.04,303
WB0000270,Wina2,Libala,Airtel Money,0.05,4261
WB0000271,Wina5,Woodlands,FNB,0.04,1122
WB0000272,Wina3,Kabwata,Airtel Money,0.05,1396
WB0000273,Wina4,Mandevu,Airtel Money,0.05,905
WB0000274,Wina3,Kabwata,MTN Money,0.06,4002
WB0000275,Wina3,Kabwata,Airtel Money,0.05,1591
WB0000276,Wina3,Kabwata,Airtel Money,0.05,3353
WB0000277,Wina4,Mandevu,MTN Money,0.06,3364
WB0000278,Wina2,Libala,MTN Money,0.06,4129
WB0000279,Wina3,Kabwata,Zanaco,0.035,1003
WB0000280,Wina4,Mandevu,Airtel Money,0.05,2475
WB0000281,Wina5,Woodlands,FNB,0.04,3597
WB0000282,Wina3,Kabwata,MTN Money,0.06,1659
WB0000283,Wina4,Mandevu,MTN Money,0.06,4163
WB0000284,Wina1,Lusaka CPD,Zamtel Money,0.045,487
WB0000285,Wina3,Kabwata,Airtel Money,0.05,3790
WB0000286,Wina4,Mandevu,Airtel Money,0.05,2186
WB0000287,Wina1,Lusaka CPD,MTN Money,0.06,1894
WB0000288,Wina3,Kabwata,MTN Money,0.06,1458
WB0000289,Wina6,Matero East,Airtel Money,0.05,875
WB0000290,Wina3,Kabwata,Airtel Money,0.05,189
WB0000291,Wina2,Libala,Airtel Money,0.05,4479
WB0000292,Wina3,Kabwata,Airtel Money,0.05,3733
WB0000293,Wina5,Woodlands,FNB,0.04,640
WB0000294,Wina2,Libala,FNB,0.04,413
WB0000295,Wina5,Woodlands,FNB,0.04,880
WB0000296,Wina3,Kabwata,Airtel Money,0.05,2921
WB0000297,Wina4,Mandevu,Airtel Money,0.05,3428
WB0000298,Wina3,Kabwata,MTN Money,0.06,4103
WB0000299,Wina3,Kabwata,Zanaco,0.035,2610
WB0000300,Wina3,Kabwata,Airtel Money,0.05,3813
WB0000301,Wina4,Mandevu,Airtel Money,0.05,1899
WB0000302,Wina2,Libala,FNB,0.04,1284
WB0000303,Wina3,Kabwata,Airtel Money,0.05,2928
WB0000304,Wina4,Mandevu,Zamtel Money,0.045,301
WB0000305,Wina5,Woodlands,Airtel Money,0.05,3672
WB0000306,Wina3,Kabwata,Zanaco,0.035,1542
WB0000307,Wina4,Mandevu,Airtel Money,0.05,2001
WB0000308,Wina1,Lusaka CPD,FNB,0.04,3166
